Contig ID,Size,Pcos_ech1,Pcos_ech2,Pcos1 F ENV RPKM,Pcos2 F ENV RPKM
Pcos_v1_contig_10083,2668,2671,1862,22.24554724,15.69156975
Pcos_v1_contig_10084,264,22,505,1.851713467,43.00906404
Pcos_v1_contig_10085,307,0,0,0,0
Pcos_v1_contig_10086,734,0,392,0,12.00777516
Pcos_v1_contig_10087,1493,575,4078,8.557818435,61.41294924
Pcos_v1_contig_10088,231,1,98,0.096192907,9.538643906
Pcos_v1_contig_10089,212,124,16,12.99693226,1.696901611
Pcos_v1_contig_1009,1229,7287,4984,131.7503925,91.17981172
Pcos_v1_contig_10090,671,957,991,31.69162065,33.20654371
Pcos_v1_contig_10091,450,18,99,0.888822464,4.946468197
Pcos_v1_contig_10092,2100,1142,1204,12.08375303,12.89079591
Pcos_v1_contig_10093,750,1100,765,32.59015702,22.93362528
Pcos_v1_contig_10094,664,3450,4913,115.4532192,166.3608862
Pcos_v1_contig_10095,609,82,133,2.991931119,4.910287134
Pcos_v1_contig_10096,995,2876,2254,64.22747254,50.93348249
Pcos_v1_contig_10097,206,0,32,0,3.49265186
Pcos_v1_contig_10098,206,122,345,13.15975008,37.65515287
Pcos_v1_contig_10099,698,22,361,0.700361541,11.62851667
Pcos_v1_contig_101,4119,691,3518,3.727702857,19.2033317
Pcos_v1_contig_1010,2359,327,1501,3.080171109,14.30623293
Pcos_v1_contig_10100,2338,1473,1256,13.99952406,12.07862986
Pcos_v1_contig_10101,878,1711,509,43.30225616,13.03454293
Pcos_v1_contig_10102,717,167,212,5.175500402,6.647972979
Pcos_v1_contig_10103,371,303,82,18.14779021,4.969497576
Pcos_v1_contig_10104,370,203,242,12.1912811,14.70571626
Pcos_v1_contig_10105,690,12,43,0.38644455,1.401173468
Pcos_v1_contig_10106,1073,3713,4006,76.89184086,83.94286028
Pcos_v1_contig_10107,1422,2574,1217,40.22202924,19.24258981
Pcos_v1_contig_10108,944,419,440,9.862728086,10.4798055
Pcos_v1_contig_10109,2240,3903,2318,38.71734462,23.26686948
