Contig ID,Size,Hbet_ech1,Hbet_ech2,Hbet_ech3,HBET1 RPKM,HBET2 RPKM,HBET3 RPKM
Hbet_v1_contig_10065,1900,285,35,1707,0.50378245,19.50443595,10.78790506
Hbet_v1_contig_10066,4512,1674,3675,1598,22.27495539,7.688845944,15.66354279
Hbet_v1_contig_10067,737,197,3,244,0.111322348,7.187466174,0.430707897
Hbet_v1_contig_10068,657,26,205,189,8.533301334,6.245251178,15.25383998
Hbet_v1_contig_10069,946,4765,2981,3045,86.17859912,69.87947539,101.0968736
Hbet_v1_contig_1007,405,37,41,38,2.768582211,2.03695788,1.511579618
Hbet_v1_contig_10070,246,255,230,1200,25.56944605,105.9008911,26.08396536
Hbet_v1_contig_10071,364,19,3,250,0.225397171,14.91049634,2.24245328
Hbet_v1_contig_10072,1883,1152,418,2670,6.070920591,30.78324627,21.2167017
Hbet_v1_contig_10073,1296,2993,856,3202,18.06331076,53.63765733,41.93583732
Hbet_v1_contig_10074,518,491,544,425,28.72087921,17.81199833,55.02091448
Hbet_v1_contig_10075,446,1798,598,1627,36.66864954,79.19653295,1.06759547
Hbet_v1_contig_10076,1918,5052,1695,4364,24.16849962,49.39575347,56.76698639
Hbet_v1_contig_10077,1471,151,656,803,12.19606575,11.85103683,17.07848624
Hbet_v1_contig_10078,1827,367,382,480,5.718121855,5.703693311,4.157464467
Hbet_v1_contig_10079,3020,338,1,596,0.009055692,4.28442744,1.036082718
Hbet_v1_contig_1008,366,13,26,76,1.942767605,4.508021537,2.787749296
Hbet_v1_contig_10080,3308,18,0,2014,0,13.21744283,2.851347285
Hbet_v1_contig_10081,824,8,146,146,4.845674464,3.846618531,7.181837628
Hbet_v1_contig_10082,865,584,348,1204,11.00250886,30.21787044,22.98824263
Hbet_v1_contig_10083,2752,849,987,1457,9.808380689,11.49382545,8.964018666
Hbet_v1_contig_10084,224,65,42,38,5.127785649,3.682892595,13.66494967
Hbet_v1_contig_10085,322,288,162,169,13.75902733,11.39421233,17.6742151
Hbet_v1_contig_10086,2813,477,786,1217,7.641549037,9.392351157,7.544464216
Hbet_v1_contig_10087,857,970,609,1239,19.43412811,31.38657739,22.17101027
Hbet_v1_contig_10088,676,321,202,401,8.172092316,12.87808099,5.701964536
Hbet_v1_contig_10089,1910,2208,381,2925,5.455319601,33.24650356,50.97426346
Hbet_v1_contig_1009,6614,1024,1630,5978,6.739877519,19.62208693,10.98374909
