Contig ID,Size,Phco_ech1,Phco_ech2,Phco_ech3,Phco_F1_RPKM,Phco_F2_RPKM,Phco_F3_RPKM
Phco_v1_contig_20454,1167,182,113,35,2.373501593,3.856917556,2.18619493
Phco_v1_contig_20455,2228,495,284,178,3.381263434,5.077336203,5.823666685
Phco_v1_contig_20456,827,64,50,36,1.17777806,2.408226123,3.173135996
Phco_v1_contig_20457,385,105,9,2,4.150663874,0.931139067,0.378670053
Phco_v1_contig_20458,773,315,261,130,6.201832826,13.44911731,12.25901434
Phco_v1_contig_20459,246,30,94,85,1.855987911,15.22038068,25.18694612
Phco_v1_contig_2046,1706,10883,4224,2047,97.08644478,98.62287323,87.4642367
Phco_v1_contig_20460,323,189,124,22,8.905294319,15.29156486,4.964915404
Phco_v1_contig_20461,1449,191,113,85,2.006106464,3.10629592,4.276044683
Phco_v1_contig_20462,199,11,7,3,0.841256832,1.401127741,1.0989043
Phco_v1_contig_20463,641,81,53,21,1.923162513,3.293446464,2.388102481
Phco_v1_contig_20464,892,144,20,15,2.456895208,0.893095517,1.225795716
Phco_v1_contig_20465,962,529,240,72,8.368923453,9.937312283,5.455682888
Phco_v1_contig_20466,1803,313,152,47,2.642029159,3.357999518,1.900175988
Phco_v1_contig_20467,1153,351,165,145,4.633048054,5.700164711,9.167066662
Phco_v1_contig_20468,377,431,84,46,17.39902514,8.875047867,8.894226317
Phco_v1_contig_20469,403,40,3,6,1.510580732,0.296516576,1.085270252
Phco_v1_contig_2047,358,10,8,36,0.42511455,0.890101901,7.330121422
Phco_v1_contig_20470,2155,505,516,151,3.56642503,9.537514151,5.107652795
Phco_v1_contig_20471,465,61,58,29,1.9964842,4.968299966,4.546076499
Phco_v1_contig_20472,1118,208,142,113,2.831460627,5.05917042,7.367638938
Phco_v1_contig_20473,1047,90,63,28,1.308232167,2.396771523,1.949409348
Phco_v1_contig_20474,1090,73,280,296,1.019260884,10.23208882,19.79506388
Phco_v1_contig_20475,318,75,62,9,3.589410583,7.765999133,2.063037318
Phco_v1_contig_20476,249,9,5,8,0.550087983,0.799840564,2.34197543
Phco_v1_contig_20477,688,33,46,54,0.729985943,2.663190063,5.721330237
Phco_v1_contig_20478,1226,223,35,30,2.768237761,1.137130589,1.783702739
Phco_v1_contig_20479,819,49,13,16,0.910544497,0.632254922,1.42405832
Phco_v1_contig_2048,1209,2593,774,227,32.64113198,25.50042555,13.68646373
Phco_v1_contig_20480,476,513,256,174,16.40209821,21.42228441,26.64612066
Phco_v1_contig_20481,1825,419,339,502,3.494138776,7.398941569,20.05083868
Phco_v1_contig_20482,1173,366,420,181,4.74867086,14.26211869,11.247921
Phco_v1_contig_20483,1152,177,47,40,2.338351436,1.625092728,2.531041154
Phco_v1_contig_20484,375,94,41,8,3.814921285,4.354971901,1.555071685
Phco_v1_contig_20485,1188,626,175,104,8.019492547,5.867517266,6.381291638
Phco_v1_contig_20486,626,302,153,75,7.342122146,9.735311806,8.733304942
Phco_v1_contig_20487,223,19,7,9,1.296694693,1.250333724,2.941909719
Phco_v1_contig_20488,1048,181,74,18,2.62848975,2.812569127,1.25199593
Phco_v1_contig_20489,523,104,6,7,3.026360403,0.45696436,0.975636514
Phco_v1_contig_2049,2843,650,273,246,3.479569317,3.824886528,6.307393729
Phco_v1_contig_20490,1647,1098,479,309,10.14606725,11.58443034,13.67592073
Phco_v1_contig_20491,1159,120,38,19,1.575748149,1.305969183,1.194983365
Phco_v1_contig_20492,415,275,107,51,10.08494636,10.26995284,8.958056018
Phco_v1_contig_20493,226,52,27,1,3.501740024,4.758697442,0.322539758
Phco_v1_contig_20494,218,215,195,88,15.0096637,35.62959502,29.42509496
Phco_v1_contig_20495,317,286,62,43,13.73079763,7.790497553,9.887827652
Phco_v1_contig_20496,203,127,0,0,9.521309413,0,0
Phco_v1_contig_20497,545,47,0,2,1.312472919,0,0.267500863
Phco_v1_contig_20498,445,47,54,21,1.607410654,4.833553357,3.439940877
Phco_v1_contig_20499,533,71,60,46,2.027309872,4.483909201,6.291038126
Phco_v1_contig_205,1089,3181,682,307,44.45542688,24.94533055,20.54954405
Phco_v1_contig_2050,841,6225,10759,2820,112.6503008,509.575665,244.4245403
Phco_v1_contig_20500,245,35,307,105,2.174157268,49.91200996,31.24027939
Phco_v1_contig_20501,1175,194,85,55,2.512770697,2.881468175,3.412058884
Phco_v1_contig_20502,1235,162,135,90,1.996351693,4.354111829,5.312112285
Phco_v1_contig_20503,234,12,4,18,0.780466711,0.680889916,5.607229634
Phco_v1_contig_20504,495,24,38,18,0.7378958,3.057814712,2.650690373
Phco_v1_contig_20505,234,49,19,4,3.186905738,3.2342271,1.24605103
Phco_v1_contig_20506,2683,1630,548,269,9.246043393,8.135657442,7.30841671
Phco_v1_contig_20507,273,15,15,2,0.836214334,2.188574729,0.53402187
Phco_v1_contig_20508,992,149,63,40,2.285933498,2.529657041,2.939273599
Phco_v1_contig_20509,1007,485,389,366,7.329954243,15.38696263,26.4937424
Phco_v1_contig_2051,226,2648,627,288,178.3193766,110.5075295,92.89145023
Phco_v1_contig_20510,2619,703,350,226,4.085157661,5.323108447,6.290202622
Phco_v1_contig_20511,247,10,0,10,0.61615793,0,2.951173492
Phco_v1_contig_20512,244,128,19,2,7.983790622,3.101676809,0.597491682
Phco_v1_contig_20513,299,24,29,6,1.22160007,3.863310174,1.462755557
Phco_v1_contig_20514,229,173,81,48,11.49739935,14.08906928,15.27908861
Phco_v1_contig_20515,452,284,30,1,9.562443911,2.643720801,0.161269879
Phco_v1_contig_20516,235,36,23,5,2.331436729,3.898456943,1.550935856
Phco_v1_contig_20517,200,17,5,3,1.293623574,0.995801502,1.093409779
Phco_v1_contig_20518,276,380,780,450,20.95383453,112.5688654,118.848889
Phco_v1_contig_20519,366,262,452,197,10.89454762,49.19150588,39.23528714
Phco_v1_contig_2052,205,244,85,47,18.11444201,16.51573222,16.71227954
Phco_v1_contig_20520,586,82,42,19,2.129635276,2.854857548,2.36345686
Phco_v1_contig_20521,225,48,293,37,3.246741519,51.87019378,11.98701091
Phco_v1_contig_20522,434,144,54,15,5.049655589,4.956062773,2.51937737
Phco_v1_contig_20523,495,24,3,13,0.7378958,0.241406425,1.914387491
Phco_v1_contig_20524,262,73,14,5,4.240436503,2.128430691,1.391106589
Phco_v1_contig_20525,435,219,209,60,7.662030094,19.13770242,10.05434279
