Contig ID,Size,Pgra_ech1,Pgra_ech2,Pgra_ENV_F1_RPKM,Pgra_ENV_F2_RPKM
Pgra_v1_contig_10082,1403,5529,3873,77.95476765,60.43672668
Pgra_v1_contig_10083,1407,514,22784,7.226413093,354.5250958
Pgra_v1_contig_10084,1191,434,5723,7.208281368,105.2017812
Pgra_v1_contig_10085,1169,1897,1394,32.10011456,26.10714439
Pgra_v1_contig_10086,443,2078,2857,92.78880456,141.1944489
Pgra_v1_contig_10087,304,35,153,2.277446708,11.0186644
Pgra_v1_contig_10088,2445,1320,4316,10.67944861,38.64681258
Pgra_v1_contig_10089,2871,1141,1542,7.861514404,11.75878067
Pgra_v1_contig_1009,3508,1595,20508,8.994041046,127.9896444
Pgra_v1_contig_10090,1575,2259,2593,28.3719663,36.04400715
Pgra_v1_contig_10091,1735,557,915,6.350522785,11.54603111
Pgra_v1_contig_10092,610,73,14,2.367264512,0.502469042
Pgra_v1_contig_10093,1759,1324,2064,14.8893558,25.68945921
Pgra_v1_contig_10094,1633,543,48,6.577599212,0.643526093
Pgra_v1_contig_10095,257,2597,983,199.8907,83.73971973
Pgra_v1_contig_10096,1145,1461,2131,25.24053127,40.7463838
Pgra_v1_contig_10097,222,8,0,0.712837888,0
Pgra_v1_contig_10098,2238,900,1074,7.954926839,10.5064333
Pgra_v1_contig_10099,1295,408,228,6.232239825,3.85457222
Pgra_v1_contig_101,1061,416343,7462,7762.286102,153.9752682
Pgra_v1_contig_1010,1594,1542,1038,19.13594082,14.25673723
Pgra_v1_contig_10100,246,16,7,1.286585457,0.62297991
Pgra_v1_contig_10101,220,208,258,18.70227406,25.67486293
Pgra_v1_contig_10102,3593,1957,4296,10.774258,26.17689699
Pgra_v1_contig_10103,2345,922,747,7.777532535,6.974111128
Pgra_v1_contig_10104,2628,753,2263,5.667915642,18.85255869
Pgra_v1_contig_10105,2037,1067,877,10.36160788,9.425831522
Pgra_v1_contig_10106,526,146,275,5.490613508,11.44611377
Pgra_v1_contig_10107,2267,1926,3881,16.80577424,37.48031491
Pgra_v1_contig_10108,489,203,406,8.211848743,18.1772543
Pgra_v1_contig_10109,525,646,819,24.34035887,34.15353859
Pgra_v1_contig_1011,510,4799,1059,186.137697,45.460781
Pgra_v1_contig_10110,357,439,123,24.32484416,7.54306767
Pgra_v1_contig_10111,266,406,386,30.19243636,31.76996794
Pgra_v1_contig_10112,228,924,437,80.16612412,41.96214677
Pgra_v1_contig_10113,852,338,505,7.847491755,12.97665898
Pgra_v1_contig_10114,959,282,0,5.816801769,0
Pgra_v1_contig_10115,807,626,697,15.34456429,18.90907794
Pgra_v1_contig_10116,409,245,108,11.84940488,5.7811143
Pgra_v1_contig_10117,4341,1754,1639,7.992700982,8.266092793
Pgra_v1_contig_10118,2535,2440,3394,19.03994218,29.31196833
Pgra_v1_contig_10119,3442,1451,3041,8.338929631,19.3426807
Pgra_v1_contig_1012,2065,6796,3662,65.10091261,38.82481478
Pgra_v1_contig_10120,894,1949,250,43.1248982,6.122285785
Pgra_v1_contig_10121,2848,1374,1608,9.543342497,12.36110137
Pgra_v1_contig_10122,1004,166,156,3.270605312,3.401746872
Pgra_v1_contig_10123,211,911,639,85.40625607,66.30244003
Pgra_v1_contig_10124,238,897,509,74.55370803,46.82221273
Pgra_v1_contig_10125,1919,1482,687,15.27661,7.837776423
Pgra_v1_contig_10126,1221,1992,1338,32.27211531,23.99117717
Pgra_v1_contig_10127,917,1176,1090,25.36832241,26.02365368
Pgra_v1_contig_10128,1414,2413,241,33.75683143,3.73145958
Pgra_v1_contig_10129,2029,960,968,9.359290956,10.44490318
Pgra_v1_contig_1013,2888,1814,6027,12.4249273,45.68936383
Pgra_v1_contig_10130,3454,1664,1443,9.529821175,9.146503531
Pgra_v1_contig_10131,312,24,0,1.521634723,0
Pgra_v1_contig_10132,301,199,6,13.0779702,0.436411175
Pgra_v1_contig_10133,857,51,223,1.177180655,5.69685479
Pgra_v1_contig_10134,2346,1589,1484,13.39829859,13.84895492
Pgra_v1_contig_10135,1284,284,544,4.375292367,9.275663488
Pgra_v1_contig_10136,1551,2262,6365,28.84925253,89.8457873
Pgra_v1_contig_10137,2759,770,1509,5.520682705,11.97425901
Pgra_v1_contig_10138,1494,563,194,7.45438055,2.842904304
Pgra_v1_contig_10139,1221,888,1111,14.38636466,19.92092514
Pgra_v1_contig_1014,311,6014,663,382.5223342,46.67284212
Pgra_v1_contig_10140,970,113,79,2.304413823,1.783062086
Pgra_v1_contig_10141,3018,1131,108,7.413053459,0.783457836
Pgra_v1_contig_10142,931,101,58,2.145978939,1.363921644
Pgra_v1_contig_10143,383,430,232,22.20871568,13.26173421
Pgra_v1_contig_10144,383,583,612,30.1108866,34.98354023
Pgra_v1_contig_10145,233,155,73,13.15920158,6.859272359
Pgra_v1_contig_10146,567,1953,995,68.13542151,38.41944885
Pgra_v1_contig_10147,307,233,123,15.01313217,8.771580319
Pgra_v1_contig_10148,341,702,82,40.72269351,5.264663066
Pgra_v1_contig_10149,1256,886,1131,13.95397193,19.71442315
Pgra_v1_contig_1015,267,6235,32,461.9329682,2.623915382
Pgra_v1_contig_10150,1101,709,0,12.73833537,0
Pgra_v1_contig_10151,1324,433,610,6.469246117,10.08678952
Pgra_v1_contig_10152,240,199,139,16.40195429,12.67986609
Pgra_v1_contig_10153,637,280,473,8.695055563,16.25671593
Pgra_v1_contig_10154,320,55,36,3.399902585,2.462995571
Pgra_v1_contig_10155,361,1316,29386,72.11115471,1782.150517
Pgra_v1_contig_10156,1328,2613,4288,38.92199542,70.6915998
Pgra_v1_contig_10157,1384,417,106,5.960102483,1.676798526
Pgra_v1_contig_10158,332,194,69,11.55892401,4.550112301
Pgra_v1_contig_10159,249,456,32,36.22590619,2.813596012
Pgra_v1_contig_1016,269,6647,1504,488.7954576,122.4071157
Pgra_v1_contig_10160,2654,2042,4077,15.21978725,33.63186116
Pgra_v1_contig_10161,2123,892,922,8.311293572,9.508062665
Pgra_v1_contig_10162,858,3936,3304,90.74476169,84.30704344
Pgra_v1_contig_10163,517,316,313,12.09066817,13.25454741
Pgra_v1_contig_10164,994,246,219,4.895561213,4.823572816
Pgra_v1_contig_10165,2015,2367,1570,23.23683478,17.05829853
Pgra_v1_contig_10166,999,697,408,13.80133356,8.941405344
Pgra_v1_contig_10167,689,162,16,4.651034438,0.508407407
Pgra_v1_contig_10168,268,10,2,0.738106396,0.163382791
Pgra_v1_contig_10169,1625,1456,468,17.72400126,6.305268663
Pgra_v1_contig_1017,1192,1922,43,31.89560839,0.789774866
Pgra_v1_contig_10170,1187,1603,1328,26.7138551,24.49392956
Pgra_v1_contig_10171,224,96,5,8.477679174,0.488689598
Pgra_v1_contig_10172,373,481,103,25.50879873,6.045601283
Pgra_v1_contig_10173,1907,439,7,4.553733281,0.080363428
Pgra_v1_contig_10174,1854,1957,2109,20.88020982,24.90450754
Pgra_v1_contig_10175,449,236,11,10.39727245,0.536361322
Pgra_v1_contig_10176,631,1794,701,56.24019813,24.32202705
Pgra_v1_contig_10177,1965,507,1158,5.103864866,12.90200225
Pgra_v1_contig_10178,660,24,147,0.719318233,4.876233657
Pgra_v1_contig_10179,976,93,0,1.884893833,0
Pgra_v1_contig_1018,2524,980,392,7.680517582,3.400226321
Pgra_v1_contig_10180,216,49,194,4.487413513,19.66342143
Pgra_v1_contig_10181,393,247,168,12.43249134,9.35896536
Pgra_v1_contig_10182,696,102,13,2.898976499,0.408926468
Pgra_v1_contig_10183,543,733,1313,26.70286792,52.93903311
Pgra_v1_contig_10184,299,142,309,9.394440467,22.62551116
Pgra_v1_contig_10185,1637,1218,1670,14.71812108,22.3346371
Pgra_v1_contig_10186,2529,1681,1223,13.1483921,10.58738573
Pgra_v1_contig_10187,915,561,404,12.12817709,9.666547282
Pgra_v1_contig_10188,1186,1653,2212,27.57032763,40.83302383
Pgra_v1_contig_10189,2484,2555,4549,20.34665754,40.09363698
Pgra_v1_contig_1019,1372,28525,120561,411.2683647,1923.817357
Pgra_v1_contig_10190,251,155,88,12.21551382,7.675736531
Pgra_v1_contig_10191,1376,2238,1513,32.17328535,24.07307687
Pgra_v1_contig_10192,318,46,286,2.861438882,19.6901952
Pgra_v1_contig_10193,523,59,403,2.231536965,16.86997604
Pgra_v1_contig_10194,360,176,551,9.67083402,33.50890271
Pgra_v1_contig_10195,565,302,974,10.57334146,37.74171385
Pgra_v1_contig_10196,415,307,716,14.63335947,37.77252646
Pgra_v1_contig_10197,558,32,0,1.134408683,0
Pgra_v1_contig_10198,1009,508,151,9.959242531,3.276399791
Pgra_v1_contig_10199,886,752,886,16.78950458,21.89329397
Pgra_v1_contig_102,2068,10548,7722,100.8958606,81.75049131
Pgra_v1_contig_1020,1216,9676,3620,157.4041025,65.17576
Pgra_v1_contig_10200,232,187,33,15.94437074,3.114132332
Pgra_v1_contig_10201,1076,77,9,1.415572824,0.183122347
Pgra_v1_contig_10202,1435,257,507,3.542704955,7.73512198
Pgra_v1_contig_10203,714,74,0,2.050157709,0
Pgra_v1_contig_10204,1713,1639,3169,18.92671982,40.50195481
Pgra_v1_contig_10205,2486,1033,1147,8.219643082,10.10121005
Pgra_v1_contig_10206,2564,593,7979,4.574993012,68.13049632
Pgra_v1_contig_10207,2578,1690,10629,12.96753874,90.26525275
Pgra_v1_contig_10208,921,112,1195,2.40553763,28.40660835
Pgra_v1_contig_10209,1398,262,3781,3.707215929,59.21212052
Pgra_v1_contig_1021,350,1075,452,60.75670074,28.27362535
Pgra_v1_contig_10210,1693,1170,1568,13.67044545,20.27683694
Pgra_v1_contig_10211,452,991,638,43.36995607,30.90248131
Pgra_v1_contig_10212,1015,1019,9033,19.85920708,194.8395314
Pgra_v1_contig_10213,2977,1572,1351,10.44545758,9.935451848
Pgra_v1_contig_10214,2777,497,2357,3.540252772,18.58210079
Pgra_v1_contig_10215,286,95,174,6.570695397,13.31969633
Pgra_v1_contig_10216,812,272,3,6.626231998,0.080886554
Pgra_v1_contig_10217,1752,1467,2447,16.56341085,30.57813376
Pgra_v1_contig_10218,467,113,4,4.786469826,0.187522861
Pgra_v1_contig_10219,661,481,34,14.39452636,1.126130098
Pgra_v1_contig_1022,1516,2079,1309,27.12745493,18.9039062
Pgra_v1_contig_10220,1883,286,586,3.004481095,6.813314002
Pgra_v1_contig_10221,570,1475,1268,51.188326,48.70297676
Pgra_v1_contig_10222,654,602,234,18.20843019,7.833380411
