Contig ID,Size,Gpru_ech1,Gpru_ech2,Gpru_ech3,Gpru_ENV_F1_RPKM,Gpru_ENV_F2_RPKM,Gpru_ENV_F3_RPKM
Gpru_v1_contig_10064,2778,1054,1827,1861,8.006952222,12.15573664,12.60460784
Gpru_v1_contig_10065,1567,839,1068,918,11.29930761,12.59729305,11.02272293
Gpru_v1_contig_10066,2504,110,545,158,0.927080034,4.022880704,1.187238493
Gpru_v1_contig_10067,1211,396,594,848,6.90096636,9.066032636,13.17549424
Gpru_v1_contig_10068,232,303,583,1439,27.56217661,46.44677304,116.704611
Gpru_v1_contig_10069,971,55,81,43,1.195369931,1.541845172,0.833229106
Gpru_v1_contig_1007,750,2598,7062,6288,73.10326108,174.0369349,157.7489496
Gpru_v1_contig_10070,331,35,18,14,2.231510415,1.00512364,0.795820731
Gpru_v1_contig_10071,2245,1657,3429,3562,15.57632609,28.23099051,29.85332962
Gpru_v1_contig_10072,205,375,927,520,38.60435265,83.57970796,47.72706071
Gpru_v1_contig_10073,205,567,574,165,58.36978121,51.75269943,15.14416349
Gpru_v1_contig_10074,250,1246,944,872,105.1809045,69.7922118,65.62837979
Gpru_v1_contig_10075,3579,1831,2778,2012,10.79656276,14.34648535,10.57746226
Gpru_v1_contig_10076,1374,1049,1462,608,16.1119321,19.66688671,8.325916536
Gpru_v1_contig_10077,3560,1074,4598,2926,6.36668189,23.8722825,15.46462988
Gpru_v1_contig_10078,390,595,307,365,32.19669001,14.54952264,17.60935561
Gpru_v1_contig_10079,390,327,243,343,17.69465149,11.5163974,16.54796979
Gpru_v1_contig_1008,1089,3724,3036,3471,72.1673337,51.52866177,59.97108971
Gpru_v1_contig_10080,1287,460,874,282,7.542896566,12.55185351,4.1227383
Gpru_v1_contig_10081,217,350,849,288,34.03824642,72.3140912,24.97169146
Gpru_v1_contig_10082,387,275,110,124,14.99617833,5.253596288,6.028731282
Gpru_v1_contig_10083,461,93,77,262,4.257365052,3.087200074,10.69339409
Gpru_v1_contig_10084,2456,838,1341,1410,7.200696788,10.09195701,10.80204436
Gpru_v1_contig_10085,2093,3960,3940,5278,39.92866824,34.79380857,47.44772173
Gpru_v1_contig_10086,2903,523,990,1107,3.802012327,6.303229718,7.174898992
Gpru_v1_contig_10087,2787,1762,3801,3722,13.34221095,25.20785414,25.12780809
Gpru_v1_contig_10088,541,284,501,95,11.07847399,17.11651863,3.304011472
Gpru_v1_contig_10089,575,165,309,91,6.055848016,9.932660947,2.97775357
Gpru_v1_contig_1009,1403,8176,8932,6525,122.9821495,117.6700721,87.50604417
Gpru_v1_contig_10090,1089,365,1419,2418,7.073328894,24.08404844,41.77761306
Gpru_v1_contig_10091,1206,512,936,1811,8.95945352,14.34509792,28.2544169
Gpru_v1_contig_10092,219,636,59737,872,61.28749466,5041.668307,74.91824177
Gpru_v1_contig_10093,293,400,255,1362,28.8105294,16.08598044,87.46306525
Gpru_v1_contig_10094,293,1,265,0,0.072026323,16.7168032,0
Gpru_v1_contig_10095,479,234,260,195,10.30953819,10.03258414,7.659744869
Gpru_v1_contig_10096,253,36,147,156,3.002899843,10.73919652,11.60163729
Gpru_v1_contig_10097,227,53,96,58,4.927298579,7.816644344,4.807478413
Gpru_v1_contig_10098,3241,397,731,713,2.585058308,4.168821713,4.139288579
Gpru_v1_contig_10099,274,25,33,141,1.925521239,2.226067624,9.682416408
Gpru_v1_contig_101,1056,214804,60028,140669,4292.76697,1050.666613,2506.395997
Gpru_v1_contig_1010,1056,464,724,736,9.272843495,12.67213014,13.11381651
Gpru_v1_contig_10100,2313,697,6154,3878,6.359398102,49.17641163,31.54622368
Gpru_v1_contig_10101,1827,1224,780,947,14.13844797,7.890981616,9.752739812
Gpru_v1_contig_10102,214,206,593,535,20.31478894,51.21720755,47.03868964
Gpru_v1_contig_10103,2630,737,808,632,5.913854114,5.678460231,4.521437544
Gpru_v1_contig_10104,863,16,138,13,0.391262346,2.955583728,0.28343127
Gpru_v1_contig_10105,1030,1578,2081,2627,32.33170754,37.34305392,47.98859716
Gpru_v1_contig_10106,1944,2560,1692,1480,27.79089749,16.08714863,14.32453923
Gpru_v1_contig_10107,209,966,336,423,97.54156243,29.71446857,38.08108272
Gpru_v1_contig_10108,2317,1692,3150,2301,15.41108417,25.12809101,18.68554594
Gpru_v1_contig_10109,1219,455,614,593,7.877103623,9.309784791,9.153057574
Gpru_v1_contig_1011,4290,6358,6413,4630,31.27678459,27.62987525,20.30667907
Gpru_v1_contig_10110,899,383,444,360,8.990791986,9.128475507,7.534562078
Gpru_v1_contig_10111,983,217,172,557,4.658703636,3.234073646,10.66146496
Gpru_v1_contig_10112,1720,1078,1158,1743,13.22662929,12.44385921,19.06707815
Gpru_v1_contig_10113,2097,150,353,818,1.509564577,3.111367072,7.339560921
Gpru_v1_contig_10114,581,216,182,147,7.845786508,5.789888921,4.760542084
Gpru_v1_contig_10115,794,1283,1274,1423,34.10083564,29.6567736,33.72093469
Gpru_v1_contig_10116,1888,270,948,1478,3.018009773,9.280712595,14.72948799
Gpru_v1_contig_10117,1592,1814,1374,1111,24.0465672,15.95212873,13.13064929
Gpru_v1_contig_10118,813,808,1114,1109,20.97392365,25.32617605,25.66588281
Gpru_v1_contig_10119,698,1398,556,1296,42.26789466,14.72293332,34.9353248
Gpru_v1_contig_1012,1208,1221,869,812,21.33082227,13.29620855,12.64748874
Gpru_v1_contig_10120,236,324,1076,442,28.97289382,84.27043672,35.23915394
Gpru_v1_contig_10121,226,897,707,318,83.76119631,57.82104693,26.47487311
Gpru_v1_contig_10122,1377,347,426,469,5.318074318,5.718085371,6.408466359
Gpru_v1_contig_10123,412,520,407,378,26.635754,18.25879739,17.26274241
Gpru_v1_contig_10124,335,127,293,137,8.00051201,16.16582189,7.694687141
Gpru_v1_contig_10125,402,779,372,106,40.89500562,17.1037706,4.961294629
Gpru_v1_contig_10126,1021,250,1070,1288,5.167412532,19.37015125,23.73587944
Gpru_v1_contig_10127,1279,623,607,571,10.27960365,8.771888907,8.400028705
Gpru_v1_contig_10128,2867,660,1316,864,4.858196874,8.484049087,5.670237579
