Contig ID,Size,Hkan_ech1,Hkan_ech2,Hkan_ech3,Hkan_ENV_F1_RPKM,Hkan_ENV_F2_RPKM,Hkan_ENV_F3_RPKM
Hkan_v1_contig_10064,1893,1067,1112,723,11.41102979,9.787270154,9.517225843
Hkan_v1_contig_10065,1680,5179,2909,2659,33.63605897,40.55859933,33.11784655
Hkan_v1_contig_10066,1067,5846,7507,6666,136.6698325,160.0938994,125.7588405
Hkan_v1_contig_10067,1694,854,786,693,9.013216556,10.48319638,9.185933981
Hkan_v1_contig_10068,2107,2312,1486,1209,13.70013793,14.70400555,7.628474066
Hkan_v1_contig_10069,330,728,1377,355,81.05702614,27.56692381,26.11961069
Hkan_v1_contig_1007,750,2319,1746,1380,45.22240361,47.15108772,478.6632754
Hkan_v1_contig_10070,666,765,900,721,26.25058257,27.74181865,28.53637868
Hkan_v1_contig_10071,3769,3940,2643,2982,13.62202558,20.27474471,1.752694735
Hkan_v1_contig_10072,269,4,9,7,0.649921487,0.666836944,0.131322316
Hkan_v1_contig_10073,2535,2546,2144,1825,16.42924035,18.44840389,15.30780463
Hkan_v1_contig_10074,2390,2266,1398,1422,11.36265803,15.24669063,3.828182875
Hkan_v1_contig_10075,2010,1853,911,776,8.804262554,9.893263051,13.58545692
Hkan_v1_contig_10076,732,1993,730,1399,19.37235615,48.97568582,18.48325716
Hkan_v1_contig_10077,1937,907,486,529,4.873907855,6.99841906,0.547119819
Hkan_v1_contig_10078,385,50,57,55,2.875972916,3.660798736,0.963428263
Hkan_v1_contig_10079,1393,352,640,551,8.924821181,10.13618142,1.229932947
Hkan_v1_contig_1008,307,184,99,119,6.264226968,9.933046733,3.912292838
Hkan_v1_contig_10080,1752,3983,5102,5751,56.56880678,84.11688054,20.48568164
Hkan_v1_contig_10081,353,47,33,29,1.815975146,2.105218536,0.550400471
Hkan_v1_contig_10082,632,973,1275,1060,39.18896306,42.97963073,36.72308047
Hkan_v1_contig_10083,3638,1323,1152,1047,6.151208529,7.374929614,2.694580148
Hkan_v1_contig_10084,1000,955,640,1046,12.43227591,26.80436834,18.9699025
Hkan_v1_contig_10085,737,148,51,320,1.344229289,11.12644392,0.263624649
Hkan_v1_contig_10086,465,113,396,123,16.54294778,6.778382175,2.886831641
Hkan_v1_contig_10087,1917,5427,3873,2577,39.24605877,34.44817339,46.39147483
Hkan_v1_contig_10088,1400,2127,1488,1372,20.6464582,25.11307933,20.7538505
Hkan_v1_contig_10089,2043,2055,2110,1841,20.06248636,23.09188121,14.64555576
Hkan_v1_contig_1009,1489,2057,3016,2021,39.3466086,34.78127583,14.50749991
Hkan_v1_contig_10090,1844,997,1128,1051,11.88280167,14.60547522,5.134104338
Hkan_v1_contig_10091,3066,1377,1760,1754,11.1509324,14.65991092,3.807940259
Hkan_v1_contig_10092,754,3208,2993,1708,77.10917147,58.04842133,51.30191613
Hkan_v1_contig_10093,1058,609,790,439,14.5048115,10.63292487,9.899878009
Hkan_v1_contig_10094,1741,682,1858,1793,20.73087363,26.39097354,4.565355067
Hkan_v1_contig_10095,903,821,981,1060,21.10337532,30.08098186,37.73160634
Hkan_v1_contig_10096,1188,351,202,294,3.302977342,6.341686699,1.769258693
Hkan_v1_contig_10097,2873,1190,1080,862,7.302285273,7.688569291,3.916197842
Hkan_v1_contig_10098,2121,1752,2116,2133,19.37963801,25.77057328,5.746047868
Hkan_v1_contig_10099,616,93,264,229,8.325184758,9.52639671,2.982039862
Hkan_v1_contig_101,646,278,330,4,9.923207839,0.158672391,21.10792779
Hkan_v1_contig_1010,1224,2158,2424,1638,38.4699714,34.29307051,78.31396654
Hkan_v1_contig_10100,533,2246,2603,1607,94.86753688,77.26139771,104.5852895
Hkan_v1_contig_10101,3298,1571,1779,1435,10.47842387,11.15000707,3.400821921
Hkan_v1_contig_10102,461,412,1860,586,78.37592592,32.57396185,76.89662243
Hkan_v1_contig_10103,676,397,2660,1591,76.43734724,60.31111763,86.66816331
Hkan_v1_contig_10104,620,89,75,55,2.349850537,2.273237925,0.227907761
Hkan_v1_contig_10105,880,189,221,116,4.878432129,3.377918833,5.459426824
Hkan_v1_contig_10106,428,49,67,37,3.040896925,2.215296431,2.022148886
Hkan_v1_contig_10107,210,19,39,11,3.607580062,1.34229287,0.420544083
Hkan_v1_contig_10108,482,748,568,549,22.89137939,29.18765465,83.55041784
Hkan_v1_contig_10109,2095,542,1367,1446,12.6752097,17.6871622,0.893681269
Hkan_v1_contig_1011,1308,715,445,638,6.608804924,12.49933269,9.587633454
Hkan_v1_contig_10110,524,746,443,337,16.422645,16.48058057,18.40442159
