Contig ID,Size,Ncfi_ech1,Ncfi_ech2,Ncfi_ENV_F1 RPKM,Ncfi_ENV_F2 RPKM
Ncfi_contig_10087,2304,200,483,1.459485879,3.460641126
Ncfi_contig_10088,952,301,371,5.315962683,6.433226908
Ncfi_contig_10089,674,237,355,5.91208713,8.694815384
Ncfi_contig_1009,1143,996,1125,14.65093982,16.24793603
Ncfi_contig_10090,1433,149,485,1.748205388,5.587113022
Ncfi_contig_10091,977,907,1133,15.60864128,19.1437606
Ncfi_contig_10092,2442,610,977,4.199876809,6.604513203
Ncfi_contig_10093,2357,1147,1741,8.18193852,12.19357622
Ncfi_contig_10094,777,1578,1948,34.14588368,41.38660883
Ncfi_contig_10095,2198,97,78,0.741987216,0.585812755
Ncfi_contig_10096,270,168,279,10.46159478,17.05816644
Ncfi_contig_10097,2080,6221,5516,50.28624915,43.77768894
Ncfi_contig_10098,507,9,2,0.298460544,0.065119933
Ncfi_contig_10099,396,12,10,0.509493252,0.416866238
Ncfi_contig_101,585,1022,1349,29.37293919,38.06694215
Ncfi_contig_1010,2371,34,233,0.241101404,1.62224437
Ncfi_contig_10100,535,17,2,0.534253672,0.061711787
Ncfi_contig_10101,1573,2473,2279,26.43307999,23.91704448
Ncfi_contig_10102,720,1219,2101,28.46581258,48.17097809
Ncfi_contig_10103,1294,620,700,8.055820665,8.930086636
Ncfi_contig_10104,2682,1019,1092,6.388042354,6.721338586
Ncfi_contig_10105,982,1535,1191,26.28144673,20.02129581
Ncfi_contig_10106,909,1033,1722,19.10683771,31.27239712
Ncfi_contig_10107,947,2701,3571,47.95423659,62.2489141
Ncfi_contig_10108,279,218,131,13.13725612,7.75102256
Ncfi_contig_10109,946,2385,2490,42.38865372,43.45103435
Ncfi_contig_1011,1734,2006,1499,19.45065416,14.27067279
Ncfi_contig_10110,378,334,448,14.85617626,19.56492209
Ncfi_contig_10111,533,552,320,17.41262492,9.910936141
Ncfi_contig_10112,1485,110,106,1.24542795,1.178341898
Ncfi_contig_10113,2054,913,925,7.473477214,7.434182222
Ncfi_contig_10114,2605,3489,2967,22.51881942,18.80189951
Ncfi_contig_10115,597,276,386,7.772972431,10.67345153
Ncfi_contig_10116,1020,1510,2851,24.89024388,46.14120733
Ncfi_contig_10117,396,225,181,9.55299848,7.545278901
Ncfi_contig_10118,1988,1961,2373,16.58492798,19.70485606
Ncfi_contig_10119,2253,2260,1950,16.86551565,14.28779888
Ncfi_contig_1012,1079,36561,50021,569.7036443,765.2843526
Ncfi_contig_10120,3000,548,161,3.071225325,0.885924128
Ncfi_contig_10121,1390,25,31,0.302397074,0.368161866
Ncfi_contig_10122,1109,555,190,8.41421904,2.828225042
Ncfi_contig_10123,1272,1653,3008,21.84932973,39.0375568
Ncfi_contig_10124,811,3926,7086,81.39201822,144.2355126
Ncfi_contig_10125,1377,0,0,0,0
Ncfi_contig_10126,799,122,363,2.567233834,7.499835786
Ncfi_contig_10127,1395,153,294,1.844036868,3.479084935
Ncfi_contig_10128,222,26,30,1.969122569,2.230797704
Ncfi_contig_10129,909,364,580,6.732709511,10.53309543
Ncfi_contig_1013,1348,6201,5803,77.34357024,71.06480799
Ncfi_contig_10130,2868,2753,3246,16.13910477,18.68363081
Ncfi_contig_10131,1769,6,2,0.057026379,0.018663542
Ncfi_contig_10132,1546,3838,3117,41.7395591,33.28275141
Ncfi_contig_10133,2937,1926,1521,11.02566296,8.549036595
Ncfi_contig_10134,993,553,568,9.363285358,9.442587019
Ncfi_contig_10135,1547,1760,1239,19.1282276,13.22126169
Ncfi_contig_10136,345,11,2,0.536075509,0.095697988
Ncfi_contig_10137,5220,1158,4187,3.729841981,13.24110918
Ncfi_contig_10138,2641,1424,1719,9.065545971,10.74482593
Ncfi_contig_10139,1892,1602,1785,14.23618936,15.57431653
Ncfi_contig_1014,698,2382,4879,57.37711545,115.389769
Ncfi_contig_10140,3627,1825,2352,8.459947923,10.70487672
Ncfi_contig_10141,4563,853,1393,3.143047459,5.039559258
Ncfi_contig_10142,1676,298,352,2.989472937,3.467053615
Ncfi_contig_10143,1507,705,1819,7.865534515,19.92559759
Ncfi_contig_10144,2001,380,411,3.192926228,3.390678729
Ncfi_contig_10145,550,461,501,14.09258336,15.03719892
Ncfi_contig_10146,1238,1143,1523,15.52308238,20.30818763
Ncfi_contig_10147,1121,141,515,2.114783321,7.583916191
Ncfi_contig_10148,4595,2578,2689,9.432998681,9.660446397
Ncfi_contig_10149,1085,1059,580,16.41037851,8.824501148
Ncfi_contig_1015,1146,18253,17859,267.7947216,257.2553576
Ncfi_contig_10150,2776,209,439,1.265841124,2.610579763
Ncfi_contig_10151,3051,4944,8616,27.24511409,46.61818824
Ncfi_contig_10152,1592,2126,3746,22.45290678,38.84334465
Ncfi_contig_10153,821,40,55,0.819160893,1.105888752
Ncfi_contig_10154,602,247,246,6.898470929,6.745754386
Ncfi_contig_10155,997,127,257,2.141711354,4.255296964
Ncfi_contig_10156,559,13,41,0.391006449,1.210776428
Ncfi_contig_10157,403,9,11,0.37548262,0.450587923
Ncfi_contig_10158,523,43,35,1.382353585,1.104735383
Ncfi_contig_10159,1554,15836,7353,171.3353023,78.10978818
Ncfi_contig_1016,451,6,13,0.223679964,0.475837559
Ncfi_contig_10160,2557,1320,1941,8.67951743,12.53102845
Ncfi_contig_10161,805,633,541,13.22087521,11.09413109
Ncfi_contig_10162,1271,12,56,0.15874062,0.72733483
Ncfi_contig_10163,1110,436,580,6.604134156,8.625751122
Ncfi_contig_10164,3177,657,520,3.476966699,2.701954537
Ncfi_contig_10165,1545,817,1088,8.890904578,11.62498283
Ncfi_contig_10166,1382,2109,2100,25.65788848,25.08436782
Ncfi_contig_10167,3515,27418,25081,131.1483464,117.7908152
Ncfi_contig_10168,1054,133,4455,2.121599511,69.77486519
Ncfi_contig_10169,1563,0,0,0,0
Ncfi_contig_1017,2010,410,577,3.429573982,4.738835839
Ncfi_contig_10170,1293,1251,1799,16.26713839,22.96807232
Ncfi_contig_10171,1302,599,853,7.735140643,10.81508546
Ncfi_contig_10172,1058,2190,4482,34.80253057,69.93234527
Ncfi_contig_10173,1522,958,1128,10.58286444,12.23450368
Ncfi_contig_10174,2093,534,812,4.289675151,6.404403843
Ncfi_contig_10175,1511,2296,2014,25.54816991,22.00325391
Ncfi_contig_10176,1607,183,253,1.914642035,2.598941793
Ncfi_contig_10177,517,278,740,9.040795157,23.62833313
Ncfi_contig_10178,636,78,95,2.06200571,2.465803123
Ncfi_contig_10179,2104,4604,6102,36.7910308,47.87605711
Ncfi_contig_1018,1005,3855,4131,64.49272048,67.85487297
Ncfi_contig_10180,1060,28,336,0.444124307,5.232693784
Ncfi_contig_10181,207,1,3,0.081223562,0.239244971
Ncfi_contig_10182,969,41,5,0.711397699,0.085180098
Ncfi_contig_10183,2214,310,509,2.354162588,3.795177341
Ncfi_contig_10184,1548,2287,2624,24.83977083,27.98238856
Ncfi_contig_10185,1833,3929,4480,36.03893432,40.34664784
Ncfi_contig_10186,2120,1866,2002,14.79885636,15.5890669
Ncfi_contig_10187,2672,2448,2485,15.40378102,15.35259692
Ncfi_contig_10188,2043,221,534,1.818763724,4.314841022
Ncfi_contig_10189,2852,2162,1468,12.74554894,8.497055266
Ncfi_contig_1019,1454,4457,9419,51.5383611,106.9380595
Ncfi_contig_10190,1207,46,65,0.640771132,0.888992291
Ncfi_contig_10191,5372,1512,3706,4.732255271,11.38836347
Ncfi_contig_10192,1209,1097,1390,15.25571979,18.9793095
Ncfi_contig_10193,1831,850,956,7.805180626,8.619090812
Ncfi_contig_10194,1650,144,168,1.467340566,1.68080467
Ncfi_contig_10195,366,7,13,0.321565413,0.586346282
Ncfi_contig_10196,880,2554,2582,48.79671623,48.43568815
Ncfi_contig_10197,1387,26,23,0.315173187,0.273743165
Ncfi_contig_10198,1451,278,359,3.221289522,4.084312323
Ncfi_contig_10199,2070,1457,1904,11.83427298,15.18408084
Ncfi_contig_102,2264,3561,11870,26.44526526,86.54982718
Ncfi_contig_1020,3307,5714,7434,29.05082148,37.10908708
Ncfi_contig_10200,2207,401,1532,3.054881834,11.45904278
Ncfi_contig_10201,2011,1822,1953,15.23311352,16.03179243
Ncfi_contig_10202,228,245,277,18.06689888,20.0556541
Ncfi_contig_10203,2145,22979,30539,180.1176222,235.0279021
Ncfi_contig_10204,1009,20,10,0.333266151,0.163606571
Ncfi_contig_10205,1580,125,134,1.330164345,1.400037344
Ncfi_contig_10206,1330,1080,1643,13.65288685,20.3928456
Ncfi_contig_10207,1434,16383,17349,192.0864173,199.7179981
Ncfi_contig_10208,1827,3938,4469,36.24011281,40.37975838
Ncfi_contig_10209,869,41,40,0.793261646,0.759857446
Ncfi_contig_1021,2172,4956,5544,38.36399743,42.13619442
Ncfi_contig_10210,318,254,199,13.42947308,10.33041729
Ncfi_contig_10211,2575,4344,5217,28.36383561,33.44533204
Ncfi_contig_10212,2441,118,34,0.812768015,0.229933921
Ncfi_contig_10213,1350,2479,2654,30.87415888,32.45331451
Ncfi_contig_10214,673,752,792,18.78690126,19.42683385
Ncfi_contig_10215,236,2,16,0.142485401,1.119179865
Ncfi_contig_10216,1676,4192,3261,42.05325689,32.11949386
Ncfi_contig_10217,1578,354,366,3.771799856,3.828829215
Ncfi_contig_10218,1340,2808,2329,35.23259905,28.69172098
Ncfi_contig_10219,451,1011,899,37.690074,32.90599735
Ncfi_contig_1022,1126,674,689,10.06407541,10.10119465
Ncfi_contig_10220,1144,1030,1867,15.13782836,26.94078227
Ncfi_contig_10221,1741,1417,2383,13.68432738,22.59525151
Ncfi_contig_10222,1098,218,184,3.338155243,2.766351688
Ncfi_contig_10223,3128,1272,1864,6.837112774,9.837190285
Ncfi_contig_10224,1725,344,364,3.352908637,3.48340678
Ncfi_contig_10225,1562,1493,322,16.07056533,3.403037624
Ncfi_contig_10226,2510,5103,5943,34.18253155,39.08624207
Ncfi_contig_10227,3506,1314,1156,6.301382317,5.442993691
Ncfi_contig_10228,2478,1069,1203,7.253185415,8.014127248
Ncfi_contig_10229,642,2433,2090,63.71760706,53.74068114
Ncfi_contig_1023,1274,835,650,11.01969118,8.422399495
Ncfi_contig_10230,2207,367,537,2.795864421,4.016648807
Ncfi_contig_10231,2728,473,446,2.915205342,2.698872706
Ncfi_contig_10232,637,287,425,7.57521286,11.01390703
Ncfi_contig_10233,2269,475,523,3.519747346,3.805038904
Ncfi_contig_10234,1457,3871,3196,44.67000448,36.21088402
Ncfi_contig_10235,886,745,787,14.13757518,14.66334048
Ncfi_contig_10236,834,27,33,0.544314734,0.653190407
Ncfi_contig_10237,3128,1268,1452,6.815612419,7.662875694
Ncfi_contig_10238,711,721,338,17.04975099,7.847638843
Ncfi_contig_10239,2544,4453,4151,29.42984431,26.93565464
Ncfi_contig_1024,267,376,526,23.67712462,32.5211872
Ncfi_contig_10240,658,44,225,1.124292101,5.644799661
Ncfi_contig_10241,646,0,0,0,0
Ncfi_contig_10242,1066,898,727,14.16353005,11.25820402
